college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
Citizen College,"Kumaripati, Lalitpur",Pokhara University,Bachelor of Business Administration (BBA) BBA in Travel and Tourism (BBA-TT) Bachelor of Computer Application (BCA),private Institution,"01-5545685 , 01-5545684 , 01-5552134",info@citizencollege.edu.np,28,3,536
Patan College for Professional Studies,"Behind Kan Devtasthan, Kupondole, Lalitpur",University of Bedfordshire,Bachelor in Business Administration (Hons) (BBA) BSc (Hons) in Computer Science & Software Engineering BSc (Hons) CSSE with Micro degree in AI,private Institution,"01-5181033, 01-5181198",connect@patancollege.org,36,3,103
Lord Buddha Education Foundation,"Maitidevi, Kathmandu",Asia Pacific University of Technology & Innovation,Bachelor of Business Management (Hons) BBM (Hons) - E Business BSc IT Cloud Computing BSc (Hons) in Information Technology (BSc IT) BSc IT Network Computing Master of Business Administration (Weekend) (MBA-Weekend) MSc in Information Technology Weekend (MSc. ITM) MSc in Information Technology (MSc IT) Master of Business Administration (MBA),private Institution,"01-4424431 , 01-4411805 , 01-4443468",info@lbef.org,3,3,600
Triton International College,"Subidhanagar, Tinkune, Kathmandu",Tribhuvan University,Bachelor of Arts in Social Work (BASW) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Master of Business Studies (MBS),private Institution,"01-5104450, 01-5104529",info@triton.edu.np,34,3,884
"National College (KU:BDevS, BDFin, BoSS)","Pragati Tole, Dhumbarahi, Kathmandu",Kathmandu University,Bachelor in Development Finance Bachelor in Development Studies Bachelor of Social Sciences,private Institution,"01-4520871, 01-4543511",info@nationalcollege.edu.np,17,3,732
"Everest College, Thapathali","Thapathali, Kathmandu",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Business Studies (BBS) Bachelor of Business Administration (BBA) Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM) Master of Business Studies (MBS),private Institution,"01-4231460, 01-4266652",info@everestcollege.edu.np,24,3,932
Global College of Management,"Mid-Baneshwor, Kathmandu",National Examinations Board,Bachelor of Business Studies (BBS) Master of Business Studies (MBS) Ten Plus Two (+2) Management (+2 Mangement),private Institution,"01-4490021 , 01-4490022",info@globalcollege.edu.np,24,3,643
Sworgadwari Multiple Campus,"Bijuwar, Punyakhola, Pyuthan",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Education General (M.Ed) One year Bachelor of Education (BEd),community Institution,086-460089,sworgadwarimc@gmail.com,34,1,164
Global College International,"Baneshwor, Kathmandu",Mid-West University,Bachelor of Business Administration (BBA) Bachelor of Hotel Management (BHM) Bachelor of Travel and Tourism Management (BTTM) Master of Business Administration (MBA) MBA-Evening (MBAe),private Institution,"01-4465186 , 01-4488410",info@gci.edu.np,23,3,72
Kantipur City College,"Putalisadak, Kathmandu",Purbanchal University,Bachelor of Civil Engineering (BE Civil) Bachelor of Computer Engineering Bachelor of Information Technology (BIT) Bachelor of Computer Application (BCA) Bachelor of Business Administration (BBA) Master of Computer Application (MCA) MA in Mass Communication and Journalism (MAMCJ) Post Graduate Diploma in Computer Application,private Institution,,,29,3,745
Kantipur Engineering College,"Dhapakhel, Lalitpur",Tribhuvan University,Bachelor of Civil Engineering (BE Civil) Bachelor of Electronics Communication and Information Engineering (BE) Bachelor of Computer Engineering (BE),private Institution,,,34,3,289
Kathmandu College of Central State,"Soalteemode, Kalimati, Kathmandu",National Examinations Board,Bachelor of Computer Application (BCA) Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Master of Business Studies (MBS) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Law (+2 Law) Ten Plus Two (+2) Humanities (+2 Humanities),private Institution,,,24,3,877
Atharva Business College,"Bansbari (Near Australian Embassy), Maharajgunj, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Hotel Management (BHM) Bachelor of Health Care Management (BHCM),private Institution,,,28,3,77
National Model College for Advanced Learning,"Khusibu, Nayabazar, Kathmandu",Tribhuvan University,Bachelor of Pharmacy (B Pharm),private Institution,,,34,3,513
National College of Food Science and Technology,"Khusibu, Kathmandu",Tribhuvan University,Bachelor of Food Technology (BTech Food),private Institution,,,34,3,512
National College (NACOL)-NIST,"Lainchaur, Kathmandu",Tribhuvan University,BSc Microbiology Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM) Bachelor of Business Studies (BBS) Master of Business Studies (MBS) MSc Biotechnology MSc Microbiology,private Institution,,,34,3,548
Islington College,"Kamal Pokhari, Kathmandu",London Metropolitan University,BSc (Hons) Computing BSc (Hons) Computer Networking and IT Security BSc (Hons) Multimedia Technologies BSc (Hons) Mobile Application Development BSc (Hons) Computing with Artificial Intelligence BBA with Specialization in International Business BBA with Specialization in Digital Business Management BBA with Specialization in Advertising and Marketing Bachelor Degree in Accounting & Finance BBA with Specialisation in Events and Tourism Management MSc IT & Applied Security,private Institution,,,20,3,468
Himalayan WhiteHouse International College,"Ramshahpath, Putalisadak, Kathmandu",Purbanchal University,Bachelor of Business Administration (BBA) Bachelor of Hotel Management (BHM) Bachelor of Civil Engineering (BE Civil) BTech in Biotechnology Bachelor of Information Technology (BIT) Bachelor in Liberal Arts and Sciences (BLAS) Master of Business Administration (MBA) Executive MBA (EMBA) Bachelor of Computer Engineering,private Institution,,,29,3,773
Presidential Business School,"Thapagaun, New Baneshwor, Kathmandu","Westcliff University, CA, USA",Bachelor in Business Administration (BBA) BSc Information Technology (BSc IT) Master in Business Administration (MBA) MSc in Information Technology (MScIT),private Institution,,,40,3,931
"Fishtail Mountain School of Hospitality, Tourism and Management","Mustang Chowk, Pokhara, Pokhara Lekhnath, Kaski","Taylor's University, Malaysia",Bachelor of International Hospitality Management (Hons) Diploma in International Professional Culinary Arts Diploma in Culinary Entrepreneurship,private Institution,,,32,3,657
Herald College Kathmandu,"Bhagwati Marga, Naxal, Kathmandu",University of Wolverhampton,BSc (Hons) International Business Management (BIBM) BSc (Hons) in Computer Science (BIT) International Master of Business Administration (IMBA),private Institution,,,38,3,117
Sirjana College of Fine Arts,"Uttar Dhoka Sadak, Lazimpat, Kathmandu",Tribhuvan University,Bachelor of Fine Arts (BFA) BFA in Painting BFA in Sculpture BFA in Graphic Communications BFA in Classical Dance BFA in Classical Tabala BFA in Classical Vocal | Instrumental BFA in Traditional Nepali Sculpture BFA in Traditional Nepali Painting Ten Plus Two (+2) Humanities (+2 Humanities),community Institution,"01-4418455 , 01-4412634",sirjanacollege@gmail.com,34,1,967
Madan Bhandari Memorial College,"New Baneshwor, Kathmandu",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM) Bachelor of Computer Application (BCA) BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Arts (BA) Bachelor of Arts in Social Work (BASW) MA in English (MA English) MA in Journalism and Mass Communication MA in Sociology Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Science (+2 Science),community Institution,"01-5172175, 01-5172682",info@mbmc.edu.np,24,1,677
National College of Computer Studies,"Paknajol, Kathmandu",Tribhuvan University,Bachelor of Information Management (BIM) Bachelor of Hotel Management (BHM) BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Business Management (BBM) Bachelor of Computer Application (BCA),private Institution,,,34,3,696
Sahara Campus,"Birendranagar-08, Birendranagar, Surkhet",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Information Management (BIM),private Institution,,,34,3,172
DAV College,"Jawalakhel, Lalitpur",Tribhuvan University,Bachelor of Business Administration (BBA) Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM) Bachelor of Computer Application (BCA) BSc Microbiology BSc Physics BSc Geology Master of Business Studies (MBS),private Institution,,,34,3,436
AADIM National College,"Chabahil, Chuchchepati, Kathmandu",Tribhuvan University,Bachelor of Computer Application (BCA) Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Bachelor of Arts in Social Work (BASW) Bachelor of Arts in Psychology (BPSy) Bachelor of Arts in Journalism and Mass Communication (BAJM),private Institution,,,34,3,207
Kathmandu College of Technology,"Lokanthali, Madhyapur Thimi, Bhaktapur",Tribhuvan University,BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Computer Application (BCA),private Institution,,,34,3,572
Silkroad International College,"Narayan Gopal Chowk, Kathmandu",Purbanchal University,Bachelor of Business Administration (BBA),private Institution,,,29,3,661
Liverpool International College,"New Baneshwor, Kathmandu",Tribhuvan University,Bachelor of Business Management (BBM) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Arts in Social Work (BASW),private Institution,,,34,3,677
Malpi International College,"Subarna Shamsher Marg, Baluwatar, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) BBA in Banking and Insurance (BBA-BI),private Institution,,,28,3,883
National Infotech College,"Shiromani Tole , Birgunj -18, Birgunj, Parsa",Tribhuvan University,BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Computer Application (BCA),private Institution,,,34,3,845
Kantipur Valley College,"Kumaripati, Lalitpur",Purbanchal University,BTech in Biotechnology Bachelor of Business Administration (BBA) Master of Business Administration (MBA) Executive MBA (EMBA),private Institution,,,29,3,536
Siddhartha Multiple College,"Bafal, Kalanki, Kathmandu",National Examinations Board,Bachelor of Arts in Social Work (BASW) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science),private Institution,,,24,3,34
Everest Engineering College,"Sanepa, Lalitpur",Pokhara University,Bachelor of Computer Engineering (BE Computer) Bachelor of Engineering in Information Technology (BE IT) Bachelor of Civil Engineering,private Institution,,,28,3,808
Himalaya College of Engineering,"Chyasal-9, Lalitpur",Tribhuvan University,Bachelor of Civil Engineering (BE Civil) Bachelor of Electronics Communication and Information Engineering (BE) Bachelor of Architecture (B.Arch) Bachelor of Computer Engineering (BE) BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Computer Application (BCA),private Institution,,,34,3,245
Apollo International College,"Lakhechaur Marg, Baneshwor, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) BBA in Banking and Insurance (BBA-BI) Bachelor of Hotel Management (BHM),private Institution,,,28,3,550
Shepherd College,"Kanti Marg, New Baneshwor-10, Kathmandu",Purbanchal University,Bachelor in Media Technology (BMT) Masters in Media Technology (MMT),private Institution,,,29,3,475
IEC College of Art and Fashion,"Mandikatar, Kathmandu","Limkokwing University, Malaysia",​BA (Hons) in Fashion and Retailing ​BA in Interior Architecture,private Institution,,,18,3,611
New Summit College,"Shantinagar Gate, Tinkune, Kathmandu",National Examinations Board,Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Law (+2 Law) BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM),private Institution,,,24,3,841
Universal College,"Shantinagar, Kathmandu",National Examinations Board,Bachelor of Business Administration (BBA) Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Bachelor of Arts (BA) MA in English (MA English),private Institution,,,24,3,843
Oscar International College (College of Film Studies),"Sukhedhara, Kathmandu",Tribhuvan University,Bachelor in Film Studies (BFS),private Institution,,,34,3,889
Universal Engineering and Science College,"Chakupat, Lalitpur",Pokhara University,Bachelor of Civil Engineering Bachelor of Computer Engineering (BE Computer),private Institution,,,28,3,214
Nagarik College,"Gaindakot, Nawalpur",Tribhuvan University,Bachelor of Food Technology (BTech Food),private Institution,,,34,3,337
Siddhant Campus,"Gaidakot, Gaindakot, Nawalpur",Agriculture and Forestry University,BSc in Forestry,private Institution,,,1,3,334
Einstein College,"Mahalaxmi Chowk, Lalitpur",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,592
GATE - Global Academy of Tourism and Hospitality Education,"Budhanilkanth-9, Mandikhatar, Budhanilakantha, Kathmandu",Ecole hôtelière de Lausanne,Bachelor in Professional Hospitality (BPH) Bachelor in International Hospitality Management (BIHM) Diploma in Culinary Arts Diploma in Bakery Certificate III in Commercial Cookery (SIT30816),private Institution,,,11,3,196
Modern Technical College,"Sanepa, Lalitpur",Pokhara University,BSc Medical Laboratory Technology (BSCMLT) Bachelor of Pharmacy (B Pharm) Bachelor of Public Health (BPH),private Institution,,,28,3,808
Milestone International College,"Balkumari, Lalitpur",Tribhuvan University,Bachelor of Business Studies (BBS) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science),private Institution,,,34,3,56
CCMA College,"Putalisadak, Kathmandu",The Institute of Chartered Accountants of Nepal,CAP - I CAP - II CAP - III,private Institution,,,33,3,745
SANN International College,"Chabahil, Bhatkeko Pul, Kathmandu",Purbanchal University,BSc in Biotechnology Bachelor of Business Administration (BBA),private Institution,,,29,3,206
IIMS College,"Dhobidhara, Kathmandu",UCSI University,Bachelor of International Hospitality Management (Hons) BSc (Hons) Computing Bachelor in Computer Science (Hons) Master of Computer Science (MCS) Bachelor (Hons) of Business Administration (BBA) Master of Business Administration (MBA),private Institution,,,35,3,296
MRM College,"Banasthali, Next to Global IME Bank, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) BBA in Banking and Insurance (BBA-BI) Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA),private Institution,,,28,3,62
School of Arts  | Kathmandu University,"Hattiban, Lalitpur",Kathmandu University,Bachelor in Community Development (BCD) Bachelor in Economics (B ECON) Bachelor in Media Studies (BMS) Bachelor of Fine Arts (BFA) Bachelor in Music (Ethnomusicology) (BMus) Master in Music (Ethnomusicology) (MMus) Master in Human and Natural Resource Studies Masters in Landscapes Management and Heritage Studies (LaMHS) Masters in Development Studies (MDS) Bachelor of Arts in Buddhist Studies with Himalayan Language MA in Buddhist Studies Master of Fine Arts (MFA) Master in Urban Studies (MUS) Masters in Media Studies (MMS) Bachelor in Yogic Science and Wellbeing (BYSW) Bachelor of Craft and Design (BCD),public Institution,"01-5251294, 01-5251306",kusoa@ku.edu.np,17,4,402
Advanced College of Engineering and Management,"Kupondole, Lalitpur",Tribhuvan University,Bachelor of Civil Engineering (BE Civil) Bachelor of Electrical Engineering (BE) Bachelor of Computer Engineering (BE) Bachelor of Electronics Communication and Information Engineering (BE) Bachelor of Computer Application (BCA),private Institution,,,34,3,538
Pushpalal Memorial College,"Chabhil, Kathmandu",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts (BA) Master of Business Studies (MBS) Master of Education General (M.Ed) Bachelor of Arts in Social Work (BASW) Ten Plus Two (+2) Law (+2 Law) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement),private Institution,,,24,3,211
"Masters Program in Counseling Psychology, Tribhuvan University, CEDA Building","Kirtipur, Kathmandu",Tribhuvan University,Masters in Counseling Psychology (MCP),public Institution,01-4332330,,34,4,515
Navodit College,"Samakhusi, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Master of Business Studies (MBS) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science),private Institution,,,34,3,803
Sigma College,"Sorakhutte, Kathmandu",Tribhuvan University,Bachelor of Education (BEd) Bachelor of Arts (BA) Bachelor of Business Studies (BBS),private Institution,,,34,3,879
Balkumari College,"Narayangarh, Bharatpur, Chitwan",Tribhuvan University,Bachelor of Hotel Management (BHM) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) BSc Environmental Science BSc Microbiology Master of Business Studies (MBS) Bachelor of Education in Information Communication Technology (BICTE) Master of Education General (M.Ed) Bachelor of Business Administration (BBA) Bachelor of Information Management (BIM) MBA Financial Management (MBA-FM),community Institution,"056-521842, 056-533205, 056-526527",info@balkumaricollege.edu.np,34,1,662
Himalaya College,"Koteshwor, Kathmandu",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Bachelor of Arts in Social Work (BASW) Master of Business Studies (MBS) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Law (+2 Law) Ten Plus Two (+2) Education (+2 Education),private Institution,,,24,3,529
Arunima College,"Bauddha, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA),private Institution,,,34,3,100
Ojashwi College,"Gwarko, Lalitpur",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA) Bachelor of Business Management (BBM) Master of Business Studies (MBS),private Institution,,,34,3,391
Himalayan College of Learning Excellence,"Gaushala, Siphal, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts (BA) Bachelor of Computer Application (BCA),private Institution,,,34,3,360
Central College of Business Management,"Sinamangal-9, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Hotel Management (BHM) Bachelor of Health Care Management (BHCM),private Institution,,,28,3,865
Dibyabhumi Multiple College,"Kupondole, Lalitpur",Tribhuvan University,Bachelor of Arts in Social Work (BASW) Bachelor of Computer Application (BCA) Bachelor of Arts in Journalism and Mass Communication (BAJM) Bachelor of Arts in Gender Studies Bachelor of Arts in Psychology (BPSy) Bachelor of Arts in Rural Development (BRD) Bachelor of Arts in Major English (BA Major English),private Institution,,,34,3,538
Birgunj Public College,"Birgunj, Parsa",National Examinations Board,Master of Business Studies (MBS) Bachelor of Business Studies (BBS) Bachelor of Business Administration (BBA) Master of Business Administration (MBA) CAP - I Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Information Management (BIM),private Institution,,,24,3,178
Jubilant College,"Kalimati, Kathmandu",National Examinations Board,Bachelor of Business Studies (BBS) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities),private Institution,,,24,3,467
V.S. Niketan College,"Minbhawan, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) Executive MBA (EMBA),private Institution,,,28,3,647
ACHS College of IT and Computer Science,"Dhobidhara, Putalisadak, Kathmandu",Tribhuvan University,BSc Computer Science and Information Technology (BSc CSIT) Bachelor of Computer Application (BCA),private Institution,,,34,3,297
National Integrated College,"Dillibazar, Kathmandu",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Humanities (+2 Humanities) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Bachelor of Computer Application (BCA) Bachelor in Hospitality Management (BHM),private Institution,,,24,3,313
Gyankunj College,"Ravibhawan, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS),private Institution,,,34,3,786
Greenfield National College,"Bafal, Chetana Marg, Nagarjun, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Bachelor of Business Management (BBM) Bachelor of Computer Application (BCA) Master of Business Studies (MBS),private Institution,,,34,3,33
Baneshwor Multiple Campus,"Shantinagar, Kathmandu",National Examinations Board,Bachelor of Arts (BA) Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Master of Business Studies (MBS) MA in Sociology MA in Anthropology (MA Anthropology) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement),community Institution,"01-4620310, 01-4620332",baneshworcampus2047@yahoo.com,24,1,843
Caribbean College,"Kumaripati, Lalitpur",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS) Bachelor of Computer Application (BCA),private Institution,,,34,3,536
British Gurkha College,"Bansbari, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts (BA),private Institution,,,34,3,79
Unique College of Management,"Kumaripati, Lalitpur",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS) Bachelor of Arts (BA) Bachelor of Arts in Social Work (BASW),private Institution,,,34,3,536
Whitefield International College,"Nayabazaar, Town Planning, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Computer Application (BCA),private Institution,,,34,3,670
National College of Management and Technical Science (NCMT College),"Samakhusi, Ranibari, Kathmandu",Lincoln University College,Bachelor (Hons) of Business Administration (BBA) BSc Hons. in Hospitality Management (BHM) Bachelor of Information Technology (BIT) Master of Business Administration (MBA),private Institution,,,19,3,804
​Virinchi College,"Kumaripati, Lalitpur",Asia e University,Bachelor of Information and Communication Technology (BICT) Master of Business Administration (MBA),private Institution,,,4,3,536
Adharsheela College,"Balaju-16, Nayabazaar, Kathmandu",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW),private Institution,,,34,3,53
Itahari International College,"Sundar Dulari – 10, Sundar Dulari, Ratuwamai, Morang",London Metropolitan University,BBA (Marketing) with International Business BBA (Accounting & Finance) with International Business BSc (Hons) Computing BBA (International Business),private Institution,,,20,3,892
Sagarmatha Multiple College,"Dillibazar, Kathmandu",National Examinations Board,Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science) Bachelor of Arts (BA) MA in Sociology and Anthropology Bachelor of Business Administration (BBA) Bachelor of Business Management (BBM),private Institution,,,24,3,313
Asian College of Higher Studies - School of Management,"Jawalakhel, Lalitpur",National Examinations Board,Ten Plus Two (+2) Management (+2 Mangement) Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM),private Institution,,,24,3,436
Patan NISTA Campus,"Bakhundole -03, Lalitpur",Tribhuvan University,Bachelor of Computer Application (BCA) Master of Business Studies (MBS) Bachelor of Business Studies (BBS),private Institution,,,34,3,51
Sudur Pashchimanchal Campus,"Dhangadhi-2, Santoshi Tole, Dhangadhi, Kailali",Tribhuvan University,Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Master of Business Studies (MBS) Bachelor of Hotel Management (BHM) Bachelor of Information Management (BIM),private Institution,,,34,3,282
Platinum Management College,"Kalikasthan, Dillibazar, Kathmandu",Pokhara University,Bachelor of Business Administration (BBA) Bachelor of Hotel Management (BHM),private Institution,,,28,3,466
The Times International College,"Dillibazar, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Bachelor of Business Management (BBM) Bachelor of Computer Application (BCA) Master of Business Studies (MBS),private Institution,,,34,3,313
"Capitol Hill College, Kathmandu","Teku, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Master of Business Studies (MBS),private Institution,,,34,3,920
College of Applied Food and Dairy Technology,"Purnachandi Road, Kumaripati, Lalitpur",Council for Technical Education and Vocational Training,Bachelor in Food and Dairy Technology MSc Nutrition and Dietetics Diploma in Food/Dairy Technology,private Institution,,,7,3,741
Herald International College,"Basundhara, Kathmandu",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Science (+2 Science),private Institution,,,24,3,94
Canvas International College,"Basundhara, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Master of Business Studies (MBS) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Law (+2 Law) Bachelor of Science (General) (BSc),private Institution,,,34,3,94
Pentagon International College,"Tinkune, Kathmandu",Tribhuvan University,Bachelor of Business Studies (BBS) Bachelor of Arts in Social Work (BASW) Bachelor of Arts (BA),private Institution,,,34,3,948
Boudha Multiple Campus,"Boudha, Kathmandu",Tribhuvan University,MA in Buddhism and Peace Studies Bachelor of Business Studies (BBS),community Institution,"01-4915364 , 01-4915592 ,  01-4471628",community3333@gmail.com,34,1,190
Karfok Bidya Mandir Multiple Campus,"Suryodaya, Ilam",Purbanchal University,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts (BA),community Institution,977-27- 555091,,29,1,903
Siddhartha Gautam Buddha Campus,"Butwal, Rupandehi",National Examinations Board,Bachelor of Education (BEd) Bachelor of Business Studies (BBS) Master of Business Studies (MBS) MEd in English Language Education Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Master of Education in Health Education (M.Ed) MEd Curriculum and Evaluation,community Institution,"071-541301, 071-697111",info@sgbc.edu.np,24,1,200
Kalika Multiple Campus,"Kajipokhari, Pokhara, Pokhara Lekhnath, Kaski",National Examinations Board,Bachelor of Business Studies (BBS) Bachelor of Education (BEd) Bachelor of Arts (BA) Ten Plus Two (+2) Science (+2 Science) Ten Plus Two (+2) Management (+2 Mangement) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) MA in Rural Development (MRD) Master of Business Studies (MBS),community Institution,061-430385,kalikamultiplecampus@gmail.com,24,1,455
Surya Bhakta Patanadevi Memorial College,"Gaindakot-2, Gaindakot, Gaidakot, Nawalpur",National Examinations Board,Bachelor of Education (BEd) Bachelor of Arts (BA) Bachelor of Business Studies (BBS) Ten Plus Two (+2) Humanities (+2 Humanities) Ten Plus Two (+2) Education (+2 Education) Ten Plus Two (+2) Management (+2 Mangement),community Institution,"056-501079, 056-693309",spmcollege2006@gmail.com,24,1,339
Khwopa Engineering College,"Libali, Bhaktapur",Purbanchal University,Bachelor of Architecture (B.Arch) Bachelor of Civil Engineering (BE Civil) Bachelor of Computer Engineering Bachelor in Electronics Communication and Automation Engineering Master of Engineering in Earthquake MSc in Urban Design and Conservation,community Institution,"01-6614794, 01-6614798",khec@wlink.com.np,29,1,570
Kailali Multiple Campus,"Dhangadi, Dhangadhi, Kailali",National Examinations Board,​Bachelor of Business Administration (BBA) BSc Agriculture (BScAg) BSc in Computer Science and Information Technology (BSc CSIT) Bachelor of Business Studies (BBS) Bachelor of Business Management (BBM) BSc Physics Bachelor of Arts (BA) Bachelor of Arts in Social Work (BASW) Bachelor of Arts Bachelor of Law (BALLB) BSc Biology Bachelor of Education (BEd) BEd Computer Science and Information Technology Master of Arts (MA) Master of Business Management (MBM) Master of Business Administration (MBA) Master of Education (MEd) Master of Business Studies (MBS) MBA in Entrepreneurship (MBA-E),community Institution,"091-521223 , 091-526293",kmckailali@gmail.com,24,1,283
"Masters Program in Sports Science, Tribhuvan University","Kirtipur, Kathmandu",Tribhuvan University,Master in Sports Science (MSS),community Institution,,,34,1,515
Valmeeki Vidyapeeth,"Exhibition Road, Putalisadak, Kathmandu",Nepal Sanskrit University,Uttar Madhyama Shastri Acharya,constituent Institution,977-1-4227193,infobalmiki@nsu.edu.np,25,2,327
Pindeshwar Vidyapeeth,"Dharan, Sunsari",Nepal Sanskrit University,Uttar Madhyama Acharya,constituent Institution,025-520285,pindeshworv@nsu.edu.np,25,2,291
School of Management | Purbanchal University,"Biratnagar, Morang",Purbanchal University,Bachelor of Business Administration (BBA) Master of Business Administration (MBA) Bachelor of Hotel Management (BHM) MPhil Management PhD in Management,constituent Institution,021-534027,mgcampus@wlink.com.np,29,2,168
